DisplayName                                                                                         |Version             |Publisher                     |InstallDate

[32 bit section]

Visual Studio Community 2022                                                                        |17.4.1              |Microsoft Corporation         |20221124
Advanced Monitoring Agent                                                                           |                    |                              |20230504
Dropbox                                                                                             |177.4.5399          |Dropbox, Inc.                 |        
Google Chrome                                                                                       |114.0.5735.199      |Google LLC                    |20230629
Lenovo Dynamic Power Reduction Utility                                                              |2.1.0.4             |Lenovo                        |20181012
Microsoft Edge                                                                                      |114.0.1823.58       |Microsoft Corporation         |20230624
Microsoft Edge Update                                                                               |1.3.175.29          |                              |        
Microsoft Edge WebView2-Laufzeit                                                                    |114.0.1823.58       |Microsoft Corporation         |20230624
OBS Studio                                                                                          |29.1.0              |OBS Project                   |        
ThinkPad Thunderbolt 3 Dock                                                                         |1.001.9             |Lenovo Group Limited          |20221214
Zotero                                                                                              |6.0.18              |Corporation for Digital Scholarship|        
Thinkpad USB Ethernet Adapter Driver                                                                |10.55.823.2022      |Lenovo                        |20221214
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                                        |12.0.40664.0        |Microsoft Corporation         |        
vs_devenvsharedmsi                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                                        |12.0.30501.0        |Microsoft Corporation         |        
vs_communitymsires                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
Request Handler Agent                                                                               |2.10.0.5112         |MspPlatform                   |20230414
Dropbox Update Helper                                                                               |1.3.761.1           |Dropbox, Inc.                 |20230504
VS Immersive Activate Helper                                                                        |17.0.118.0          |Microsoft Corporation         |20230626
Zoom (32-bit)                                                                                       |5.15.18096          |Zoom                          |20230629
vs_filehandler_amd64                                                                                |17.4.33006          |Microsoft Corporation         |20221124
Securepoint SSL VPN                                                                                 |2.0.34              |Securepoint GmbH              |20230215
Microsoft .NET Targeting Pack - 6.0.11 (x86)                                                        |48.47.50420         |Microsoft Corporation         |20221124
Microsoft .NET Framework 4.7.2 Targeting Pack                                                       |4.7.03062           |Microsoft Corporation         |20221124
Thunderbolt™ Software                                                                               |17.4.80.550         |Intel Corporation             |20221101
Web Companion                                                                                       |9.1.0.749           |Lavasoft                      |20230509
Patch Management Service Controller                                                                 |2.10.0.5390         |MspPlatform                   |20230414
Microsoft ASP.NET Core 6.0.11 Shared Framework (x86)                                                |6.0.11.22523        |Microsoft Corporation         |20221124
vs_minshellinteropsharedmsi                                                                         |17.4.33006          |Microsoft Corporation         |20221124
ClickOnce Bootstrapper Package for Microsoft .NET Framework                                         |4.8.09037           |Microsoft Corporation         |20221124
Microsoft Windows Desktop Targeting Pack - 7.0.0 (x86)                                              |56.3.50353          |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 7.0.0 (x86)                                                                |56.3.50341          |Microsoft Corporation         |20221124
Kumulatives Microsoft .NET Framework Intellisense Pack für Visual Studio (Deutsch)                  |4.8.09037           |Microsoft Corporation         |20221124
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030                                        |11.0.61030.0        |Microsoft Corporation         |        
vs_clickoncebootstrappermsires                                                                      |17.4.33006          |Microsoft Corporation         |20221124
Microsoft Windows Desktop Runtime - 7.0.0 (x86)                                                     |56.3.50353          |Microsoft Corporation         |20221124
Microsoft .NET Host - 7.0.0 (x86)                                                                   |56.3.50341          |Microsoft Corporation         |20221124
vs_FileTracker_Singleton                                                                            |17.4.33006          |Microsoft Corporation         |20221124
vs_filehandler_x86                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
icecap_collectionresourcesx64                                                                       |17.4.33006          |Microsoft Corporation         |20221124
Microsoft .NET Framework 4.8 SDK (Deutsch)                                                          |4.8.03761           |Microsoft Corporation         |20221124
Intel(R) Trusted Connect Services Client                                                            |1.48.197.0          |Intel Corporation             |        
vs_tipsmsi                                                                                          |17.4.33006          |Microsoft Corporation         |20221124
vs_CoreEditorFonts                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
vs_clickoncebootstrappermsi                                                                         |17.4.33006          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31931                                  |14.34.31931.0       |Microsoft Corporation         |        
Entity Framework 6.2.0 Tools  for Visual Studio 2022                                                |6.2.0.0             |Microsoft Corporation         |20230626
icecap_collectionresources                                                                          |17.4.33006          |Microsoft Corporation         |20221124
Teams Machine-Wide Installer                                                                        |1.5.0.30767         |Microsoft Corporation         |20230214
Intel® PROSet/Wireless Software                                                                     |21.40.1.0u          |Intel Corporation             |        
vs_clickoncesigntoolmsi                                                                             |17.4.33006          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                                          |12.0.40664          |Microsoft Corporation         |20230414
Microsoft TestPlatform SDK Local Feed                                                               |17.0.0.5175695      |Microsoft                     |20221124
Microsoft Visual Studio Setup WMI Provider                                                          |3.4.1128.26111      |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 6.0.11 Targeting Pack (x86)                                                  |6.0.11.22523        |Microsoft Corporation         |20221124
Python Launcher                                                                                     |3.11.8009.0         |Python Software Foundation    |20230127
vs_BlendMsi                                                                                         |17.4.33006          |Microsoft Corporation         |20230626
vs_SQLClickOnceBootstrappermsi                                                                      |17.4.33006          |Microsoft Corporation         |20221124
icecap_collection_neutral                                                                           |17.4.33006          |Microsoft Corporation         |20221124
vs_minshellmsires                                                                                   |17.4.33006          |Microsoft Corporation         |20221124
Microsoft .NET Framework 4.8 SDK                                                                    |4.8.03928           |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 6.0.11 (x86)                                                               |48.47.50420         |Microsoft Corporation         |20221124
Paket zur Festlegung von Zielversionen von Microsoft .NET Framework 4.7.2 (Deutsch)                 |4.7.03062           |Microsoft Corporation         |20221124
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                                 |17.4.326.54890      |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                                        |12.0.40664.0        |Microsoft Corporation         |        
Paket zur Festlegung von Zielversionen von Microsoft .NET Framework 4.8 (Deutsch)                   |4.8.03761           |Microsoft Corporation         |20230626
Nitro Pro                                                                                           |13.67.0.45          |Nitro                         |        
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31931                                         |14.34.31931         |Microsoft Corporation         |20221124
Adobe Refresh Manager                                                                               |1.8.0               |Adobe Systems Incorporated    |20230413
vs_vswebprotocolselectormsi                                                                         |17.4.33006          |Microsoft Corporation         |20221124
Microsoft Windows Desktop Targeting Pack - 6.0.11 (x86)                                             |48.47.50419         |Microsoft Corporation         |20221124
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                                       |11.0.61030          |Microsoft Corporation         |20230414
Microsoft Visual Studio Setup Configuration                                                         |3.4.1128.26111      |Microsoft Corporation         |20221124
Apple Software Update                                                                               |2.7.0.3             |Apple Inc.                    |20230414
vs_communitysharedmsi                                                                               |17.4.33006          |Microsoft Corporation         |20221124
ScriptRunner Bootstrap Installer                                                                    |2.50.1.3            |N-able                        |        
Microsoft .NET Framework 4.8 Targeting Pack                                                         |4.8.03761           |Microsoft Corporation         |20230626
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                                          |11.0.61030          |Microsoft Corporation         |20230414
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.34.31931                                      |14.34.31931         |Microsoft Corporation         |20221124
vs_minshellsharedmsi                                                                                |17.4.33006          |Microsoft Corporation         |20221124
IntelliTraceProfilerProxy                                                                           |15.0.21225.01       |Microsoft Corporation         |20221124
Intel(R) Trusted Connect Service Client x86                                                         |1.48.197.0          |Intel Corporation             |20181012
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030                                        |11.0.61030.0        |Microsoft Corporation         |        
ScriptRunner.Installer 2.50.1.3                                                                     |2.50.1.3            |N-able                        |20221102
vcpp_crt.redist.clickonce                                                                           |14.34.31931         |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                                       |12.0.40664          |Microsoft Corporation         |20230414
Apple Application Support (32-Bit)                                                                  |4.3.2               |Apple Inc.                    |20230414
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.34.31931                                  |14.34.31931.0       |Microsoft Corporation         |        
Microsoft .NET Targeting Pack - 7.0.0 (x86)                                                         |56.3.50341          |Microsoft Corporation         |20221124
File Cache Service Agent                                                                            |2.10.0.5112         |MspPlatform                   |20230414
Microsoft Windows Desktop Runtime - 6.0.11 (x86)                                                    |48.47.50419         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 7.0.0 Targeting Pack (x86)                                                   |7.0.0.22518         |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501                                        |12.0.30501.0        |Microsoft Corporation         |        
vs_vswebprotocolselectormsires                                                                      |17.4.33006          |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 7.0.0 Shared Framework (x86)                                                 |7.0.0.22518         |Microsoft Corporation         |20221124
Microsoft .NET Host FX Resolver - 7.0.0 (x86)                                                       |56.3.50341          |Microsoft Corporation         |20221124
Microsoft VC++ redistributables repacked.                                                           |12.0.0.0            |Intel Corporation             |20181012

[64 bit section]

Managed Antivirus (BitDefender)                                                                     |7.8.3.265           |Basic Support GmbH Co. KG     |20221101
Git                                                                                                 |2.41.0              |The Git Development Community |20230613
Logitech Unifying-Software 2.52                                                                     |2.52.33             |Logitech                      |        
Microsoft Azure Compute Emulator - v2.9.7                                                           |2.9.8999.43         |Microsoft Corporation         |24.11.2022
Microsoft 365 Apps for Business - de-de                                                             |16.0.16501.20210    |Microsoft Corporation         |        
Microsoft OneDrive                                                                                  |23.122.0611.0001    |Microsoft Corporation         |        
TeamViewer                                                                                          |15.41.9             |TeamViewer                    |        
Lenovo USB Audio                                                                                    |1.31.38.50          |Synaptics Incorporated        |        
Vulkan Run Time Libraries 1.1.70.0                                                                  |1.1.70.0            |LunarG, Inc.                  |        
Microsoft .NET Targeting Pack - 7.0.0 (x64)                                                         |56.3.50341          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                                       |12.0.40664          |Microsoft Corporation         |20230414
Microsoft .NET AppHost Pack - 6.0.11 (x64_x86)                                                      |48.47.50420         |Microsoft Corporation         |20221124
Microsoft Azure Compute Emulator - v2.9.7                                                           |2.9.8999.43         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 7.0.0 Targeting Pack (x64)                                                   |7.0.0.22518         |Microsoft Corporation         |20221124
IIS Express Application Compatibility Database for x64                                              |                    |                              |        
Intel(R) Management Engine Components                                                               |1.0.0.0             |Intel Corporation             |20181012
Nitro Pro                                                                                           |13.67.0.45          |Nitro                         |20221107
Microsoft Web Deploy 4.0                                                                            |10.0.5923           |Microsoft Corporation         |20221124
vs_devenx64vmsi                                                                                     |17.4.33006          |Microsoft Corporation         |20221124
iTunes                                                                                              |12.12.9.4           |Apple Inc.                    |20230613
Microsoft ASP.NET Core 6.0.11 Targeting Pack (x64)                                                  |6.0.11.22523        |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 7.0.0 (x64_arm64)                                                     |56.3.50341          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                                               |56.31.50225         |Microsoft Corporation         |20221124
Microsoft Windows Desktop Runtime - 7.0.0 (x64)                                                     |56.3.50353          |Microsoft Corporation         |20221124
Microsoft VC++ redistributables repacked.                                                           |12.0.0.0            |Intel Corporation             |20181012
Microsoft .NET Toolset 7.0.100 (x64)                                                                |28.5.24432          |Microsoft Corporation         |20221124
vs_minshellx64msi                                                                                   |17.4.33006          |Microsoft Corporation         |20221124
Intel(R) Management Engine Components                                                               |11.7.0.1067         |Intel Corporation             |        
Python 3.11.1 Standard Library (64-bit)                                                             |3.11.1150.0         |Python Software Foundation    |20230127
Microsoft Windows Desktop Targeting Pack - 7.0.0 (x64)                                              |56.3.50353          |Microsoft Corporation         |20221124
FortiClient VPN                                                                                     |7.0.7.0345          |Fortinet Technologies Inc     |20221103
Intel(R) Management Engine Components                                                               |1.0.0.0             |Intel Corporation             |20181012
Microsoft SQL Server 2019 LocalDB                                                                   |15.0.4153.1         |Microsoft Corporation         |20221124
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030                                       |11.0.61030          |Microsoft Corporation         |20230414
Microsoft Command Line Utilities 15 for SQL Server                                                  |15.0.1300.359       |Microsoft Corporation         |20221124
Microsoft Windows Desktop Targeting Pack - 6.0.11 (x64)                                             |48.47.50419         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 6.0.11 Shared Framework (x64)                                                |6.0.11.22523        |Microsoft Corporation         |20221124
Microsoft .NET 6.0 Templates 7.0.100 (x64)                                                          |24.7.57200          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                                          |12.0.40664          |Microsoft Corporation         |20230414
Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)                                                        |16.0.0              |Microsoft Corporation         |20221124
IIS 10.0 Express                                                                                    |10.0.06614          |Microsoft Corporation         |20221124
vs_minshellinteropx64msi                                                                            |17.4.33006          |Microsoft Corporation         |20221124
Bonjour                                                                                             |3.1.0.1             |Apple Inc.                    |20230414
Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)                                                      |12.3.0              |Microsoft Corporation         |20221124
Python 3.11.1 Add to Path (64-bit)                                                                  |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Core Interpreter (64-bit)                                                             |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Documentation (64-bit)                                                                |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Tcl/Tk Support (64-bit)                                                               |3.11.1150.0         |Python Software Foundation    |20230127
Intel® PROSet/Wireless WiFi Software                                                                |21.40.1.3406        |Intel Corporation             |20221101
Microsoft .NET Targeting Pack - 6.0.11 (x64)                                                        |48.47.50420         |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)                                                       |16.0.0              |Microsoft Corporation         |20221124
Microsoft Visual Studio Installer                                                                   |3.6.2115.31769      |Microsoft Corporation         |20221124
Intel(R) Management Engine Components                                                               |1.0.0.0             |Intel Corporation             |20181012
VS JIT Debugger                                                                                     |17.0.118.0          |Microsoft Corporation         |20230626
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)                                                |15.4.0              |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 7.0.0 (x64_arm)                                                       |56.3.50341          |Microsoft Corporation         |20221124
icecap_collection_x64                                                                               |17.4.33006          |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)                                                       |7.0.49              |Microsoft Corporation         |20221124
Office 16 Click-to-Run Licensing Component                                                          |16.0.16501.20152    |Microsoft Corporation         |20230619
Office 16 Click-to-Run Extensibility Component                                                      |16.0.16501.20152    |Microsoft Corporation         |20230619
Office 16 Click-to-Run Localization Component                                                       |16.0.16501.20152    |Microsoft Corporation         |20230619
Microsoft Azure Authoring Tools - v2.9.7                                                            |2.9.8999.45         |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 7.0.0 (x64)                                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft ODBC Driver 17 for SQL Server                                                             |17.7.2.1            |Microsoft Corporation         |20221124
Python 3.11.1 Development Libraries (64-bit)                                                        |3.11.1150.0         |Python Software Foundation    |20230127
Microsoft .NET AppHost Pack - 7.0.0 (x64_x86)                                                       |56.3.50341          |Microsoft Corporation         |20221124
vs_communityx64msi                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
Microsoft .NET 7.0 Templates 7.0.100 (x64)                                                          |28.5.24432          |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 7.0.0 (x64)                                                                |56.3.50341          |Microsoft Corporation         |20221124
Microsoft-System-CLR-Typen für SQL Server 2019                                                      |15.0.2000.5         |Microsoft Corporation         |20221124
Microsoft Windows Desktop Runtime - 6.0.11 (x64)                                                    |48.47.50419         |Microsoft Corporation         |20221124
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                                |24.0.28113          |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 7.0.0 Shared Framework (x64)                                                 |7.0.0.22518         |Microsoft Corporation         |20221124
Python 3.11.1 Executables (64-bit)                                                                  |3.11.1150.0         |Python Software Foundation    |20230127
Intel(R) Management Engine Driver                                                                   |1.0.0.0             |Intel Corporation             |20181012
Adobe Acrobat (64-bit)                                                                              |23.003.20215        |Adobe                         |20230625
IIS Express Application Compatibility Database for x86                                              |                    |                              |        
Microsoft .NET SDK 7.0.100 (x64) from Visual Studio                                                 |7.1.22.52112        |Microsoft Corporation         |20221124
Microsoft Update Health Tools                                                                       |3.72.0.0            |Microsoft Corporation         |20230509
Microsoft .NET Host - 7.0.0 (x64)                                                                   |56.3.50341          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 6.0.11 (x64)                                                               |48.47.50420         |Microsoft Corporation         |20221124
Microsoft Azure Libraries for .NET – v2.9                                                           |3.0.0127.060        |Microsoft Corporation         |20221124
Python 3.11.1 pip Bootstrap (64-bit)                                                                |3.11.1150.0         |Python Software Foundation    |20230127
VS Script Debugging Common                                                                          |17.0.118.0          |Microsoft Corporation         |20221124
Intel(R) Trusted Connect Service Client x64                                                         |1.48.197.0          |Intel Corporation             |20181012
Apple Mobile Device Support                                                                         |16.5.0.12           |Apple Inc.                    |20230414
Microsoft .NET AppHost Pack - 6.0.11 (x64_arm)                                                      |48.47.50420         |Microsoft Corporation         |20221124
DisplayLink Graphics                                                                                |10.2.7042.0         |DisplayLink Corp.             |20221214
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                                          |11.0.61030          |Microsoft Corporation         |20230414
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.34.31931                                         |14.34.31931         |Microsoft Corporation         |20221124
Dolby Atmos Windows APP                                                                             |1.1.8.23            |Dolby Laboratories, Inc.      |20221107
Python 3.11.1 Utility Scripts (64-bit)                                                              |3.11.1150.0         |Python Software Foundation    |20230127
Intel(R) ME UninstallLegacy                                                                         |1.0.1.0             |Intel Corporation             |20181012
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.34.31931                                      |14.34.31931         |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 6.0.11 (x64_arm64)                                                    |48.47.50420         |Microsoft Corporation         |20221124
Python 3.11.1 Test Suite (64-bit)                                                                   |3.11.1150.0         |Python Software Foundation    |20230127
Microsoft ASP.NET Core Module V2 for IIS Express                                                    |17.0.22116.0        |Microsoft Corporation         |20221124
Dolby Atmos Windows API SDK                                                                         |1.1.9.33            |Dolby Laboratories, Inc.      |20221107
Managed Antivirus Master Service                                                                    |54.6.1.4            |N-able Technologies           |20221101
IntelliTraceProfilerProxy                                                                           |15.0.21225.01       |Microsoft Corporation         |20221124
Microsoft .NET Host FX Resolver - 7.0.0 (x64)                                                       |56.3.50341          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 6.0.11 (x64)                                                          |48.47.50420         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core Module for IIS Express                                                       |12.2.18292.0        |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)                                                    |33.0.4              |Microsoft Corporation         |20221124
DiagnosticsHub_CollectionService                                                                    |17.3.32601          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                                               |56.31.50225         |Microsoft Corporation         |20221124
